SMS,LABEL
goo.gl/hc29vk,blocked
testando https://goo.gl/hc29vk,blocked
"0500034B0704|s://findmy-support.com/icloud/?id=MariaEduarda/iPhone6/Localiza-lo
",blocked
"050003260302| as 13:10

Acesse: http://applesuporte.cf

Para Obter sua localizaç",blocked
"050003390201|Calline Farias, Seu iPhone 7 32gb imei:353***140 Foi localizado proximo a sua cidade. Acesse https://br-lcloud.com/id/eQuL Veja a localizacao exata.
- Ap",blocked
"0500032A0402| IPhone as 11:47,BRT acesse https://lbuscar-device.com/Apple e veja",blocked
0500036A0302|: https://icloud-lsupport.com/AppleID/ para visualizar o último loc,blocked
"0500037A0302| WHITE as 21:04

Acesse: https://br-lcloud.com/id

Para Obter sua l",blocked
localizar-id.com.br para ver localizacao,blocked
"Your lost iPhone has been used a minutes ago. To see the location of your device, login at: https://support-appIeinc.com/?e=bHFt Apple Support",blocked
Sent from your Twilio trial account - Payleven informa sua conta foi bloqueada para desbloquear sua conta acesso o link http://bit.ly/2FoGszg,blocked
Sent from your Twilio trial account - Payleven informa sua conta foi bloqueada para desbloquear sua conta acesso o link https://brasilprepagos.herokuapp.com/,blocked
Sent from your Twilio trial account - Payleven informa sua conta foi bloqueada para desbloquear sua conta acesso o brasilprepagos.herokuapp.com,blocked
O dispositivo 8 Plus Space Gray de Cristiana Ferreira foi rastreado e localizado as 13:23h acesse: http://bit.ly/2EfSQjT para mais detalhes,blocked
Seu dispositivo 7 Plus Rose foi rastreado e localizado as 19:33h acesse: www.goo.gl/hc29vk para mais detalhes - Valido por 24h.,blocked
Seu dispositivo 7 Plus Rose foi rastreado e localizado as 19:33h acesse: www.suportedoicloud.com.br/buscar para mais detalhes.,blocked
Seu dispositivo 7 Plus Rose foi rastreado e localizado as 19:33h acesse: suportedoicloud.com.br/buscar para mais detalhes.,blocked
"Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize  http://icloud-find.us.com/nbfPscv
Apple INC.",blocked
"Caixa Informa:
Credito Pre-aprovado de ate 15.000,00 em 48 parcelas com o menor juros do Mercado.
Aproveite !

Acesse:
https://caixafinanceira.com",blocked
" APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://icloud-find.us.com/kuiLx6R
Apple INC",blocked
"Buscar Meu iPhone:Seu dispositivo iPhone SE 64GB Rose,foi localizado as 18:46.Para mais informacoes acesse: http://buscar-meu-iphone.esy.es/
",blocked
 APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-located-devices.com/S8UK7i5,blocked
0500032A0201|Prezado Marcelo Matias seu iPhone se foi ligado e rastreado pelo fynd my Iphone para obter a ultima localizacao acesse em:https://icloudsuporteapple.com/,blocked
050003240201|Cliente Apple ; Seu iPhone 6s 64GB Silver foi recuperado e encontrasse em uma de nossas lojas. Para recupera-lo acesse:Http://lbuscar-device.com/apple.br,blocked
"Caro cliente, use o token 958468 para migrar a nova versao do BRB Banknet para Celular acesse: www.cefmobisac.com/brb libere seu acesso Mobile!",blocked
"Caro cliente, use o token 958468 para migrar a nova versao do BRB Banknet para Celular acesse: http://cefmobisac.com/brb libere seu acesso Mobile!",blocked
"olha qto tempo demora 
http://bit.ly/Itau-30horas",blocked
"Apple:
iPhone no modo perdido foi localizado com sucesso,acesse :
http://lost-info.esy.es
Confirme ser usuario do mesmo e veja localizacao exata.",blocked
"Apple Inc. 
Seu iPhone 7 Plus 128GB Rose Gold foi encontrado hoje as 3:06 p.m., veja a localiza?ao:
https://apple.id-account.in/?id=4992",blocked
"Apple Informa:
Modo Perdido Ativado
no iphone Para Visualizar
Localizacao Acesse:
http://lcloud-co.com/87xKEN4",blocked
Apple Inc. O seu iPhone 6 128 GB Space Grey em modo perdido foi localizado recentemente. Localiza??o atual: https://lcloud-info.com/?id=5071 Suporte da Apple.,blocked
Seu aparelho perdido foi localizado e esta online. Acesse 1modoperdido.com/localizar e veja no mapa o local.,blocked
BRB: Prezado(a) Cliente Informamos que seu acesso encontra-se bloqueadoprocure sua agencia BRB e solicite o desbloqueio ou se preferiracesse: clientebrb.com,blocked
BB.informa: seu telefone para recebimento do SMS esta Desatualizado evite CANCELAMENTO da conta recadastre. http://bit.ly/2DudGix,blocked
"Suporte iCloud:
iPhone de Isadora locaIizado hoje, as 23:51.
Acesse:
www.buscar-meu-iphone.com/icloud/ebfcb
para obter a ultima localizacao.",blocked
"Suporte iCloud:
iPhone de Matheus foi locaIizado hoje, as 11:33.
Acesse:
www.buscar-meu-iphone.com/icloud/ebfbc
para obter a ultima localizacao.",blocked
"Apple Inc. Se ha localizado su iPhone 6 a las 22:17 Hrs, ultima ubicacion: https://icloud.com.us-i.bid/?id=117",blocked
Seu lPhone 7 Black 128GB em modo perdido foi encontrado. Para localizar acesse www.buscar-phone.com e veja no mapa a localizacao disponivel em ate 24h.,blocked
 APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/DxX8KfZ,blocked
"Apple Customer,

Your lost iPhone 7 Plus 32GB Rose Gold has been found and temporarily connected to iCloud.
View location: found-icloud.com/br

Apple Support.",blocked
id.pt-verify.me/0yX44,blocked
"B.B INFORMA: Prezado(a) cliente, Atualizacao para seu Mobile, acesse o link e siga as obstrucoes https://atualizarmobile.co",blocked
"B.B INFORMA: Prezado(a) cliente, Atualizacao para seu Mobile, acesse o link e siga as obstrucoes https://atualizarmobile.com",blocked
"Prezado(a) cliente BB, evite o cancelamento do servico SMS , numero 27992694831 , acesse:https://atualizarmobile.com/AppCc ou procure a sua agencia.",blocked
"Prezado(a) cliente, evite o cancelamento do servico SMS da sua conta, numero 27992694831 , acesse: (https://atualizarmobile.com/AppCc) ou procure a sua agencia",blocked
"050003910202|
Servidor: myphone.merck.com
Contate o Meu C...",blocked
050003F00202|ps://isupport-apple.com/icloud/ para obter a localização.,blocked
 APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://applesupport-tools.com/6t8iHn_,blocked
"Apple Inc.
Your lost iPhone has been connected to internet. To locate or lock this device, visit
http://icloud.com.app1.me/17627
",blocked
"B.B Informa: Sua conta sera bloqueada por motivo de seguranca, atualize agora mesmo. Acesse: https://atualizarmobile.com/Ccliente/",blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://unicred.gerenciamento-app.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o RESTRICOES de sua conta. Recadastre agora Acesse http://bit.ly/2n8ptsO,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse www.unicred.gerenciamento-app.com.br,blocked
https://app-atualizacao.com/APP,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o RESTRICOES de sua conta. Recadastre agora Acesse http://bit.ly/2BuTWXf,blocked
PORTAL UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o RESTRICOES de sua conta. Recadastre agora Acesse https://goo.gl/aHGFmw,blocked
http://unicred.gerenciamento-app.com.br/home1/,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse unicred.gerenciamento-app.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse gerenciamento-app.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse gerenciamento-app.com.br/unicred,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse portalunicred.gerenciamento-app.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse portal.gerenciamento-app.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse portaluni.gerenciamento-app.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://gerenciamento-app.com.br,blocked
_UNICRED informa: Seu Numero de telefone esta desatualizado. Evite  CANCELAMENTO de sua conta. agora Acesse Recadastre  www.gerenciamento-app.com.br,blocked
http://bit.ly/2neaVse,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse https://goo.gl/PXJFyc,blocked
"B.B INFORMA: Atualizacao digital ainda nao foi executado em sua conta. Evite bloqueios, atualize agora! Acesse: https://www.bbatualiazacao.com/",blocked
"B.B INFORMA: Atualizacao digital ainda nao foi executado em sua conta. Evite bloqueios, atualize agora! Acesse: https://www.bbatualiazacao.com",blocked
 mobi-appacesso.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://unicred.mobi-appacesso.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://ppunicred.mobi-appacesso.com.br,blocked
UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://mmmobi-appacesso.com.br,blocked
http://mobi-appacesso.com.br,blocked
http://mobi-aapp.com.br,blocked
PORTAL _UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse www.mobi-appacesso.com.br,blocked
"BBinforma: voce possui 90 mil pontos Smiles Gol expirando hoje, vinculados em seu Ourocard, resgate agora acessando: http://bbsmiles.sytes.net",blocked
Seu aparelho perdido foi localizado e esta online. Acesse 1modoperdido.com/rastrear e veja no mapa o local.,blocked
lPhone SE 64GB ha sido encontrado en Barcelona. Ver la ultima ubicacion en https://accesslcloud.com/V3 CareSupport,blocked
 APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://https://icloudfind-support.us.com/?iphone=WoXyeDQ/7ga1CjN,blocked
"Apple Seu telefone foi localizado pelo servico de Apple, Find My iPhone. acesse nosso site https://icloudfind-support.us.com/?iphone=WoXyeDQ",blocked
www.atualizebbacesso.com,blocked
"Informa: Prezado(a) cliente, evite o bloqueio da sua conta, em ate 24hrs acesse: https://goo.gl/wqEkgQ e atualize seus dados.",blocked
"Informa: Prezado(a) cliente, evite o bloqueio da sua conta, em ate 24hrs acesse: www.mobilebbacesso.com e atualize seus dados.",blocked
"Apple Support.
Your lost iPhone has been retained at San Francisco Apple Dealer, check case ID:0017906 on
http://icloud.com.app1.me/17906
",blocked
"APPLE SUPORTE:Gabriel Souza Seu iphone no modo perdido foi localizado,acesse no nosso site e visualize;http://lcloud-tools.com/jNrZ4Us",blocked
"Prezado(a) Elisangela seu iPhone 6 Gold foi retido pelas autoridades, acesse: https://www.isupport-apple.com/contact/ para obter detalhes. 

Suporte AppIe.",blocked
Apple Inc. Su iphone 7 ha sido localizado hoy a la(s) 07:02 am. Ultima ubicacion:  http://icloudfind-support.us.com/R-g6iz8 . ,blocked
"Apple: Atualize imediatamente sua conta iCloud. Evite o bloqueio de seu aparelho, acesse http://www.icloudbr.mobi/?34992075115",blocked
"Apple: Atualize imediatamente sua conta iCloud. Evite o bloqueio de seu aparelho, acesse http://www.icloudbr.mobi/?34992263885",blocked
"ghffyyfgjhvh 
http://www.atualizacaorede.com",blocked
"S.a.n.t.a.n.d.e.r Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse: https://atualizar-cadastro.com",blocked
"B.B Informa: Sua conta sera bloqueada por motivo de seguranca, atualize agora mesmo. Acesse: https://atualizar-app.com/APAcc",blocked
"B.B Informa: Sua conta sera bloqueada por motivo de seguranca, atualize agora mesmo. Acesse: https://atualizar-app.com/",blocked
"Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse:cadastro.com",blocked
C.A.I.X.A Informa: Por motivos de Seguranca sua assinatura eletronica foi bloqueada faca o desbloqueio atualize:https://atualize-app.com/-AreaCaixa-,blocked
"Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o cancelamento de sua conta Acesse: http://atualizar-app.com/",blocked
"Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o cancelamento de sua conta Acesse: atualizar-app.com",blocked
"S.a.n.t.a.n.d.e.r Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse: https://atualizar-cadastro.com/",blocked
"S.a.n.t.a.n.d.e.r Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse: https://atualizar-app.com/Seguranca",blocked
"S.a.n.t.a.n.d.e.r Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse: www.atualizar-cadastro.com",blocked
"S.a.n.t.a.n.d.e.r Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse: meulink.com",blocked
"S.a.n.t.a.n.d.e.r Alerta:Caro Cliente(a), atualize seus dados cadastrais e EVITE bloqueamento da sua conta  http://bit.ly/2DJ8lki",blocked
"Santander Alerta:
Caro Cliente(a), atualize seus dados cadastrais e EVITE o bloqueio de sua conta. Acesse: https://atualizar-cadastro.com/Acc",blocked
http://atualizar-cadastro.com/Acc r,blocked
